epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7926,1.97719,1.8043,1.25129,0.72711,0.4183,0.465,0.21702,1.73489,1.10942,1.10437,0.00332298,0.00332298,0.00332298
2,102.951,1.72839,1.12131,1.06268,0.7556,0.43914,0.50031,0.25585,1.5717,0.96173,1.04225,0.00659042,0.00659042,0.00659042
3,141.219,1.72939,1.05968,1.05703,0.74693,0.42423,0.4842,0.24548,1.62384,0.99913,1.0523,0.00979185,0.00979185,0.00979185
4,178.966,1.71901,1.02382,1.05792,0.76065,0.44251,0.50227,0.24927,1.63906,0.99047,1.07546,0.009703,0.009703,0.009703
5,216.799,1.66742,0.97206,1.04968,0.7709,0.4413,0.50936,0.25889,1.58605,0.88161,1.06278,0.009604,0.009604,0.009604
6,253.063,1.64266,0.94216,1.04301,0.7964,0.45673,0.52707,0.27342,1.54944,0.8641,1.04404,0.009505,0.009505,0.009505
7,289.839,1.62488,0.91791,1.03294,0.79342,0.4602,0.53021,0.27176,1.5228,0.83473,1.04777,0.009406,0.009406,0.009406
8,326.904,1.59764,0.88573,1.02883,0.79175,0.4762,0.54428,0.28679,1.50039,0.80571,1.0295,0.009307,0.009307,0.009307
9,364.186,1.58526,0.87325,1.02452,0.79303,0.47528,0.54998,0.29323,1.4847,0.81677,1.02589,0.009208,0.009208,0.009208
10,401.072,1.57926,0.86268,1.02136,0.79322,0.49766,0.56927,0.30361,1.45554,0.77102,1.01454,0.009109,0.009109,0.009109
11,438.204,1.56831,0.85295,1.01821,0.8005,0.49073,0.56355,0.29645,1.49303,0.77477,1.02413,0.00901,0.00901,0.00901
12,474.806,1.55764,0.84439,1.01772,0.8004,0.50345,0.57156,0.30035,1.4802,0.76091,1.01733,0.008911,0.008911,0.008911
13,512.401,1.55908,0.83911,1.01443,0.81497,0.49423,0.571,0.3053,1.46283,0.75346,1.01632,0.008812,0.008812,0.008812
14,549.61,1.54392,0.82697,1.00963,0.79605,0.50355,0.57219,0.30171,1.44383,0.7479,1.01284,0.008713,0.008713,0.008713
15,586.629,1.53931,0.81986,1.01132,0.80793,0.50115,0.5756,0.30672,1.45406,0.7382,1.01586,0.008614,0.008614,0.008614
16,624.054,1.52668,0.81305,1.00978,0.797,0.51162,0.57837,0.30791,1.45079,0.73612,1.01202,0.008515,0.008515,0.008515
17,661.263,1.53316,0.80842,1.00473,0.81016,0.50619,0.58147,0.30677,1.44333,0.72525,1.00791,0.008416,0.008416,0.008416
18,698.3,1.52135,0.80218,1.00523,0.8171,0.51104,0.58703,0.31445,1.42481,0.72245,1.00648,0.008317,0.008317,0.008317
19,734.759,1.51271,0.79461,1.00287,0.81998,0.50982,0.58921,0.31539,1.42941,0.71204,1.00064,0.008218,0.008218,0.008218
20,772.921,1.52049,0.79572,0.99714,0.82033,0.51424,0.59186,0.3187,1.41887,0.70644,1.00074,0.008119,0.008119,0.008119
21,810.421,1.49824,0.78144,1,0.82275,0.51279,0.59792,0.32325,1.42568,0.69772,0.99833,0.00802,0.00802,0.00802
22,847.409,1.49782,0.78049,0.99906,0.81503,0.514,0.58968,0.31529,1.41877,0.70883,1.00103,0.007921,0.007921,0.007921
23,884.541,1.50385,0.78036,0.99772,0.81378,0.52114,0.59339,0.31921,1.41741,0.70163,0.99792,0.007822,0.007822,0.007822
24,921.02,1.50615,0.78287,0.99711,0.82379,0.528,0.60363,0.32481,1.4093,0.6879,0.99876,0.007723,0.007723,0.007723
25,957.72,1.49204,0.77226,0.9969,0.82296,0.5265,0.59959,0.32653,1.40956,0.68577,0.99889,0.007624,0.007624,0.007624
26,993.96,1.48723,0.76689,0.99546,0.82357,0.5256,0.60334,0.32792,1.40324,0.68293,0.99828,0.007525,0.007525,0.007525
27,1031.53,1.49144,0.77226,0.99334,0.81949,0.52941,0.6054,0.32832,1.40468,0.67651,1.00027,0.007426,0.007426,0.007426
28,1069.39,1.48414,0.76226,0.99062,0.82592,0.52872,0.60711,0.32832,1.40067,0.67288,0.99347,0.007327,0.007327,0.007327
29,1106.16,1.47809,0.76014,0.9924,0.8172,0.53538,0.60679,0.33026,1.39168,0.67681,0.99356,0.007228,0.007228,0.007228
30,1142.4,1.4721,0.75199,0.99487,0.8175,0.53132,0.60859,0.32725,1.40296,0.66774,0.99558,0.007129,0.007129,0.007129
31,1179.17,1.47587,0.75484,0.98873,0.82428,0.53293,0.60837,0.33044,1.39205,0.6598,0.99011,0.00703,0.00703,0.00703
32,1216.77,1.46496,0.74885,0.98709,0.82698,0.52702,0.60777,0.33179,1.39309,0.6679,0.9912,0.006931,0.006931,0.006931
33,1253.23,1.4691,0.74764,0.98768,0.82924,0.52775,0.60993,0.3311,1.39161,0.66156,0.99209,0.006832,0.006832,0.006832
34,1290.79,1.46447,0.74743,0.98509,0.82466,0.53716,0.61276,0.33332,1.39136,0.65686,0.99129,0.006733,0.006733,0.006733
35,1328.35,1.46375,0.74571,0.98693,0.82384,0.53817,0.61603,0.33621,1.38724,0.65374,0.99087,0.006634,0.006634,0.006634
36,1365.17,1.46107,0.74005,0.98737,0.83089,0.53555,0.61651,0.33702,1.38466,0.65282,0.99114,0.006535,0.006535,0.006535
37,1402.96,1.45619,0.74099,0.98578,0.83048,0.53591,0.6173,0.33732,1.38038,0.64719,0.99152,0.006436,0.006436,0.006436
38,1440.03,1.4516,0.73449,0.98601,0.82931,0.53899,0.61662,0.3356,1.38261,0.64401,0.98851,0.006337,0.006337,0.006337
39,1476.89,1.4443,0.72826,0.98284,0.82872,0.54525,0.6221,0.33999,1.37471,0.6397,0.98877,0.006238,0.006238,0.006238
40,1514.3,1.44309,0.72538,0.98229,0.83107,0.54381,0.62408,0.34207,1.38142,0.64335,0.98806,0.006139,0.006139,0.006139
41,1550.68,1.45535,0.73373,0.9824,0.82975,0.54732,0.62694,0.34247,1.37535,0.63555,0.98748,0.00604,0.00604,0.00604
42,1587.96,1.44603,0.72892,0.98403,0.83072,0.54536,0.62562,0.3427,1.37085,0.63391,0.98606,0.005941,0.005941,0.005941
43,1625.29,1.44228,0.72558,0.98093,0.83397,0.54428,0.62617,0.344,1.37336,0.63443,0.98836,0.005842,0.005842,0.005842
44,1663.53,1.4372,0.72006,0.97917,0.82613,0.54736,0.62505,0.34239,1.37182,0.63244,0.98649,0.005743,0.005743,0.005743
45,1700.8,1.42593,0.7114,0.97881,0.82718,0.54677,0.62555,0.34244,1.37455,0.63285,0.98494,0.005644,0.005644,0.005644
46,1738.27,1.44117,0.72172,0.98016,0.8291,0.55056,0.62836,0.34477,1.36857,0.6291,0.98502,0.005545,0.005545,0.005545
47,1775.69,1.44177,0.71778,0.97536,0.83238,0.55121,0.62878,0.34456,1.36591,0.62765,0.98241,0.005446,0.005446,0.005446
48,1812.91,1.43967,0.71644,0.97774,0.82995,0.54969,0.62798,0.34257,1.37144,0.62837,0.98583,0.005347,0.005347,0.005347
